run_a	run_b	label	a_only	b_only	delta_pp	p_value
96	93	96 vs 93	23	78	12.585812356979417	3.552056811614334e-08
97	95	97 vs 95	17	57	9.153318077803206	3.3971668169915196e-06
94	90	94 vs 90	17	27	2.288329519450798	0.17417114727072658
93	95	93 vs 95	18	30	2.7459954233409576	0.11140289106101875
95	90	95 vs 90	11	14	0.6864988558352394	0.6900379657745361
